filename,width,height,class,xmin,ymin,xmax,ymax
1.PNG,900,900,PK_PP_fn,307.0,566.0,434.0,589.0
1.PNG,900,900,PK_PP_ln,306.0,531.0,357.0,556.0
1.PNG,900,900,PK_PP_country,307.0,600.0,422.0,622.0
1.PNG,900,900,PK_PP_address,400.0,667.0,571.0,695.0
1.PNG,900,900,PK_PP_id,580.0,505.0,691.0,531.0
1.PNG,900,900,PK_PP_dob,306.0,634.0,434.0,656.0
10.PNG,544,377,UK_PP_fn,182.0,87.0,285.0,107.0
10.PNG,544,377,UK_PP_ln,181.0,60.0,233.0,78.0
10.PNG,544,377,UK_PP_country,181.0,116.0,250.0,135.0
10.PNG,544,377,UK_PP_dob,181.0,144.0,319.0,160.0
10.PNG,544,377,UK_PP_address,237.0,172.0,298.0,192.0
10.PNG,544,377,UK_PP_id,389.0,30.0,499.0,52.0
11.PNG,538,361,UK_PP_fn,183.0,81.0,285.0,100.0
11.PNG,538,361,UK_PP_ln,182.0,56.0,313.0,73.0
11.PNG,538,361,UK_PP_country,181.0,111.0,252.0,126.0
11.PNG,538,361,UK_PP_dob,183.0,136.0,311.0,154.0
11.PNG,538,361,UK_PP_address,238.0,164.0,298.0,181.0
11.PNG,538,361,UK_PP_id,392.0,28.0,494.0,42.0
12.PNG,543,369,UK_PP_fn,176.0,87.0,249.0,102.0
12.PNG,543,369,UK_PP_ln,176.0,60.0,325.0,74.0
12.PNG,543,369,UK_PP_country,173.0,111.0,241.0,130.0
12.PNG,543,369,UK_PP_dob,174.0,141.0,309.0,156.0
12.PNG,543,369,UK_PP_address,235.0,168.0,309.0,186.0
12.PNG,543,369,UK_PP_id,380.0,31.0,484.0,48.0
13.PNG,549,374,UK_PP_fn,182.0,95.0,261.0,113.0
13.PNG,549,374,UK_PP_ln,182.0,67.0,234.0,87.0
13.PNG,549,374,UK_PP_country,182.0,124.0,251.0,142.0
13.PNG,549,374,UK_PP_dob,182.0,151.0,326.0,168.0
13.PNG,549,374,UK_PP_address,240.0,176.0,325.0,194.0
13.PNG,549,374,UK_PP_id,397.0,39.0,500.0,56.0
14.PNG,545,378,UK_PP_fn,181.0,92.0,277.0,109.0
14.PNG,545,378,UK_PP_ln,180.0,64.0,241.0,80.0
14.PNG,545,378,UK_PP_country,179.0,120.0,249.0,138.0
14.PNG,545,378,UK_PP_dob,179.0,146.0,319.0,164.0
14.PNG,545,378,UK_PP_address,236.0,175.0,322.0,193.0
14.PNG,545,378,UK_PP_id,391.0,35.0,493.0,57.0
15.PNG,388,272,UK_PP_ln,126.0,53.0,157.0,64.0
15.PNG,388,272,UK_PP_fn,126.0,72.0,157.0,84.0
15.PNG,388,272,UK_PP_country,125.0,93.0,179.0,106.0
15.PNG,388,272,UK_PP_dob,125.0,113.0,224.0,127.0
15.PNG,388,272,UK_PP_address,164.0,132.0,235.0,145.0
15.PNG,388,272,UK_PP_id,278.0,32.0,353.0,50.0
16.PNG,548,375,UK_PP_fn,153.0,102.0,249.0,119.0
16.PNG,548,375,UK_PP_ln,149.0,74.0,175.0,89.0
16.PNG,548,375,UK_PP_country,150.0,128.0,223.0,148.0
16.PNG,548,375,UK_PP_dob,147.0,159.0,296.0,175.0
16.PNG,548,375,UK_PP_address,201.0,187.0,268.0,202.0
16.PNG,548,375,UK_PP_id,298.0,44.0,392.0,62.0
17.PNG,548,375,UK_PP_fn,187.0,102.0,362.0,120.0
17.PNG,548,375,UK_PP_ln,187.0,73.0,279.0,91.0
17.PNG,548,375,UK_PP_country,187.0,128.0,268.0,148.0
17.PNG,548,375,UK_PP_dob,186.0,157.0,356.0,176.0
17.PNG,548,375,UK_PP_address,261.0,188.0,385.0,205.0
17.PNG,548,375,UK_PP_id,362.0,45.0,462.0,62.0
18.PNG,392,271,UK_PP_fn,128.0,70.0,169.0,83.0
18.PNG,392,271,UK_PP_ln,127.0,50.0,164.0,63.0
18.PNG,392,271,UK_PP_country,128.0,89.0,176.0,103.0
18.PNG,392,271,UK_PP_dob,128.0,109.0,220.0,124.0
18.PNG,392,271,UK_PP_address,171.0,130.0,231.0,142.0
18.PNG,392,271,UK_PP_id,286.0,29.0,348.0,42.0
23.PNG,1000,600,PK_ID_fn,313.0,165.0,374.0,195.0
23.PNG,1000,600,PK_ID_ln,378.0,160.0,463.0,194.0
23.PNG,1000,600,PK_ID_country,394.0,384.0,587.0,423.0
23.PNG,1000,600,PK_ID_dob,517.0,461.0,661.0,495.0
23.PNG,1000,600,PK_ID_id,304.0,461.0,501.0,491.0
24.PNG,1040,654,UK_ID_country,87.0,102.0,322.0,133.0
24.PNG,1040,654,UK_ID_fn,444.0,158.0,520.0,194.0
24.PNG,1040,654,UK_ID_ln,528.0,160.0,740.0,191.0
24.PNG,1040,654,UK_ID_dob,446.0,349.0,558.0,378.0
24.PNG,1040,654,UK_ID_address,450.0,409.0,609.0,438.0
24.PNG,1040,654,UK_ID_id,449.0,466.0,585.0,502.0
25.PNG,1072,704,PK_ID_fn,297.0,190.0,374.0,230.0
25.PNG,1072,704,PK_ID_ln,379.0,188.0,448.0,234.0
25.PNG,1072,704,PK_ID_dob,559.0,532.0,698.0,563.0
25.PNG,1072,704,PK_ID_country,422.0,456.0,526.0,486.0
25.PNG,1072,704,PK_ID_id,298.0,526.0,504.0,569.0
26.PNG,704,512,PK_ID_fn,198.0,158.0,274.0,184.0
26.PNG,704,512,PK_ID_ln,277.0,159.0,377.0,187.0
26.PNG,704,512,PK_ID_country,275.0,332.0,342.0,356.0
26.PNG,704,512,PK_ID_dob,372.0,384.0,460.0,410.0
26.PNG,704,512,PK_ID_id,196.0,384.0,328.0,410.0
27.PNG,600,401,PK_ID_fn,171.0,107.0,219.0,131.0
27.PNG,600,401,PK_ID_ln,221.0,106.0,293.0,130.0
27.PNG,600,401,PK_ID_country,234.0,246.0,297.0,267.0
27.PNG,600,401,PK_ID_dob,314.0,289.0,391.0,309.0
27.PNG,600,401,PK_ID_id,169.0,290.0,280.0,311.0
28.PNG,285,177,PK_ID_fn,77.0,39.0,95.0,48.0
28.PNG,285,177,PK_ID_ln,96.0,38.0,116.0,49.0
28.PNG,285,177,PK_ID_country,106.0,114.0,139.0,123.0
28.PNG,285,177,PK_ID_id,79.0,137.0,139.0,146.0
28.PNG,285,177,PK_ID_dob,149.0,136.0,188.0,147.0
29.PNG,500,316,UK_ID_fn,90.0,75.0,136.0,91.0
29.PNG,500,316,UK_ID_ln,88.0,93.0,127.0,105.0
29.PNG,500,316,UK_ID_dob,183.0,195.0,289.0,220.0
29.PNG,500,316,UK_ID_address,325.0,197.0,378.0,218.0
29.PNG,500,316,UK_ID_id,358.0,14.0,485.0,34.0
29.PNG,500,316,UK_ID_country,154.0,13.0,341.0,36.0
3.PNG,755,520,PK_PP_fn,276.0,115.0,400.0,133.0
3.PNG,755,520,PK_PP_ln,271.0,87.0,335.0,103.0
3.PNG,755,520,PK_PP_country,272.0,136.0,364.0,160.0
3.PNG,755,520,PK_PP_address,347.0,191.0,442.0,212.0
3.PNG,755,520,PK_PP_id,483.0,62.0,572.0,82.0
3.PNG,755,520,PK_PP_dob,272.0,165.0,376.0,182.0
30.PNG,1086,690,UK_ID_fn,196.0,147.0,408.0,192.0
30.PNG,1086,690,UK_ID_ln,193.0,196.0,353.0,238.0
30.PNG,1086,690,UK_ID_id,828.0,34.0,1034.0,80.0
30.PNG,1086,690,UK_ID_country,350.0,36.0,759.0,85.0
30.PNG,1086,690,UK_ID_dob,406.0,432.0,645.0,480.0
30.PNG,1086,690,UK_ID_address,717.0,434.0,872.0,480.0
31.PNG,509,319,UK_ID_fn,85.0,62.0,186.0,83.0
31.PNG,509,319,UK_ID_ln,83.0,85.0,174.0,107.0
31.PNG,509,319,UK_ID_country,156.0,10.0,349.0,32.0
31.PNG,509,319,UK_ID_id,389.0,7.0,485.0,25.0
31.PNG,509,319,UK_ID_address,332.0,200.0,389.0,220.0
31.PNG,509,319,UK_ID_dob,187.0,201.0,299.0,222.0
32.PNG,3254,1957,UK_ID_fn,784.0,506.0,1286.0,601.0
32.PNG,3254,1957,UK_ID_ln,777.0,614.0,1241.0,717.0
32.PNG,3254,1957,UK_ID_country,1146.0,207.0,2166.0,339.0
32.PNG,3254,1957,UK_ID_id,2348.0,205.0,2853.0,297.0
32.PNG,3254,1957,UK_ID_address,2071.0,1203.0,2364.0,1295.0
32.PNG,3254,1957,UK_ID_dob,1270.0,1206.0,1886.0,1303.0
33.PNG,720,456,PK_ID_fn,185.0,109.0,238.0,134.0
33.PNG,720,456,PK_ID_ln,241.0,108.0,356.0,134.0
33.PNG,720,456,PK_ID_id,174.0,353.0,341.0,383.0
33.PNG,720,456,PK_ID_country,141.0,30.0,338.0,67.0
33.PNG,720,456,PK_ID_dob,355.0,357.0,461.0,383.0
34.PNG,1002,639,PK_ID_fn,264.0,150.0,338.0,185.0
34.PNG,1002,639,PK_ID_ln,342.0,149.0,506.0,184.0
34.PNG,1002,639,PK_ID_country,371.0,415.0,474.0,446.0
34.PNG,1002,639,PK_ID_id,272.0,493.0,479.0,524.0
34.PNG,1002,639,PK_ID_dob,510.0,492.0,647.0,524.0
35.PNG,1800,1391,PK_ID_fn,506.0,403.0,655.0,464.0
35.PNG,1800,1391,PK_ID_ln,665.0,401.0,870.0,464.0
35.PNG,1800,1391,PK_ID_country,677.0,868.0,866.0,932.0
35.PNG,1800,1391,PK_ID_id,511.0,1009.0,881.0,1066.0
35.PNG,1800,1391,PK_ID_dob,937.0,1010.0,1184.0,1066.0
36.png,400,257,PK_ID_fn,119.0,63.0,144.0,75.0
36.png,400,257,PK_ID_ln,147.0,62.0,176.0,75.0
