filename,width,height,class,xmin,ymin,xmax,ymax
1.png,900,900,Last Name,308.0,534.0,364.0,555.0
1.png,900,900,First Name,309.0,567.0,439.0,587.0
1.png,900,900,Dob,305.0,636.0,437.0,656.0
1.png,900,900,Address,402.0,672.0,575.0,694.0
1.png,900,900,Country,303.0,602.0,423.0,622.0
1.png,900,900,Id number,577.0,506.0,694.0,531.0
10.PNG,544,377,First Name,180.0,90.0,285.0,107.0
10.PNG,544,377,Last Name,178.0,61.0,228.0,79.0
10.PNG,544,377,Country,181.0,117.0,247.0,134.0
10.PNG,544,377,Dob,179.0,143.0,312.0,162.0
10.PNG,544,377,Address,235.0,171.0,297.0,189.0
10.PNG,544,377,Id number,392.0,31.0,495.0,49.0
11.PNG,538,361,First Name,184.0,82.0,284.0,99.0
11.PNG,538,361,Country,183.0,109.0,321.0,126.0
11.PNG,538,361,Dob,185.0,137.0,312.0,154.0
11.PNG,538,361,Address,239.0,164.0,298.0,181.0
11.PNG,538,361,Id number,393.0,26.0,494.0,44.0
11.PNG,538,361,Id number,181.0,54.0,409.0,71.0
12.PNG,543,369,First Name,176.0,85.0,249.0,104.0
12.PNG,543,369,Last Name,174.0,60.0,327.0,75.0
12.PNG,543,369,Country,176.0,112.0,311.0,130.0
12.PNG,543,369,Dob,176.0,141.0,312.0,158.0
12.PNG,543,369,Address,233.0,168.0,311.0,185.0
12.PNG,543,369,Id number,381.0,29.0,484.0,49.0
13.PNG,549,374,First Name,182.0,95.0,260.0,113.0
13.PNG,549,374,Last Name,183.0,69.0,231.0,85.0
13.PNG,549,374,Country,184.0,123.0,332.0,141.0
13.PNG,549,374,Dob,181.0,150.0,326.0,168.0
13.PNG,549,374,Address,239.0,178.0,328.0,195.0
13.PNG,549,374,Id number,396.0,40.0,502.0,55.0
14.PNG,545,378,First Name,178.0,91.0,277.0,108.0
14.PNG,545,378,Last Name,180.0,64.0,242.0,81.0
14.PNG,545,378,Country,181.0,118.0,323.0,136.0
14.PNG,545,378,Dob,178.0,147.0,329.0,165.0
14.PNG,545,378,Address,236.0,175.0,324.0,191.0
14.PNG,545,378,Id number,389.0,35.0,493.0,56.0
15.PNG,388,272,Last Name,127.0,53.0,154.0,66.0
15.PNG,388,272,First Name,125.0,73.0,156.0,86.0
15.PNG,388,272,Country,126.0,93.0,226.0,106.0
15.PNG,388,272,Dob,126.0,113.0,224.0,127.0
15.PNG,388,272,Address,168.0,133.0,233.0,146.0
15.PNG,388,272,Address,278.0,35.0,352.0,48.0
16.PNG,548,375,First Name,153.0,103.0,210.0,117.0
16.PNG,548,375,Last Name,218.0,103.0,247.0,118.0
16.PNG,548,375,Country,149.0,132.0,294.0,146.0
16.PNG,548,375,Dob,150.0,159.0,294.0,176.0
16.PNG,548,375,Address,207.0,188.0,263.0,202.0
16.PNG,548,375,Id number,304.0,46.0,392.0,59.0
17.PNG,548,375,Last Name,186.0,74.0,279.0,91.0
17.PNG,548,375,First Name,187.0,103.0,365.0,120.0
17.PNG,548,375,Country,186.0,130.0,355.0,149.0
17.PNG,548,375,Dob,184.0,158.0,354.0,176.0
17.PNG,548,375,Address,262.0,187.0,342.0,204.0
17.PNG,548,375,Id number,359.0,45.0,461.0,65.0
18.PNG,392,271,First Name,127.0,70.0,172.0,82.0
18.PNG,392,271,Last Name,127.0,49.0,164.0,63.0
18.PNG,392,271,Country,127.0,90.0,228.0,103.0
18.PNG,392,271,Dob,127.0,109.0,222.0,123.0
18.PNG,392,271,Address,170.0,131.0,231.0,144.0
18.PNG,392,271,Id number,286.0,32.0,349.0,44.0
19.PNG,551,382,Id number,340.0,48.0,429.0,65.0
19.PNG,551,382,Country,381.0,159.0,440.0,178.0
19.PNG,551,382,Dob,184.0,161.0,266.0,178.0
19.PNG,551,382,Address,183.0,185.0,235.0,203.0
19.PNG,551,382,First Name,183.0,114.0,231.0,132.0
19.PNG,551,382,Last Name,184.0,73.0,262.0,91.0
20.PNG,539,378,Last Name,176.0,78.0,235.0,94.0
20.PNG,539,378,First Name,177.0,104.0,227.0,120.0
20.PNG,539,378,Country,176.0,132.0,254.0,144.0
20.PNG,539,378,Dob,176.0,157.0,315.0,172.0
20.PNG,539,378,Address,226.0,183.0,289.0,199.0
20.PNG,539,378,Id number,402.0,51.0,508.0,75.0
22.PNG,607,408,Last Name,193.0,82.0,252.0,106.0
22.PNG,607,408,First Name,197.0,119.0,410.0,144.0
22.PNG,607,408,Country,193.0,151.0,342.0,174.0
22.PNG,607,408,Dob,197.0,183.0,335.0,205.0
22.PNG,607,408,Address,194.0,212.0,324.0,235.0
22.PNG,607,408,Id number,370.0,50.0,480.0,73.0
3.PNG,755,520,Last Name,273.0,87.0,329.0,104.0
3.PNG,755,520,First Name,273.0,115.0,401.0,132.0
3.PNG,755,520,Country,272.0,141.0,364.0,159.0
3.PNG,755,520,Dob,272.0,168.0,375.0,183.0
3.PNG,755,520,Address,347.0,192.0,441.0,211.0
3.PNG,755,520,Id number,482.0,64.0,571.0,83.0
4.PNG,553,395,Last Name,191.0,70.0,248.0,81.0
4.PNG,553,395,First Name,192.0,89.0,294.0,103.0
4.PNG,553,395,Country,189.0,109.0,260.0,122.0
4.PNG,553,395,Dob,193.0,129.0,273.0,142.0
4.PNG,553,395,Address,247.0,149.0,303.0,164.0
4.PNG,553,395,Id number,369.0,49.0,438.0,65.0
5.PNG,541,378,Last Name,188.0,52.0,233.0,65.0
5.PNG,541,378,First Name,188.0,73.0,224.0,86.0
5.PNG,541,378,Country,189.0,93.0,258.0,106.0
5.PNG,541,378,Dob,188.0,112.0,268.0,126.0
5.PNG,541,378,Id number,368.0,33.0,445.0,49.0
5.PNG,541,378,Address,244.0,134.0,305.0,147.0
6.PNG,539,381,Last Name,187.0,56.0,237.0,69.0
6.PNG,539,381,First Name,187.0,77.0,310.0,89.0
6.PNG,539,381,Country,189.0,96.0,259.0,109.0
6.PNG,539,381,Dob,189.0,117.0,271.0,129.0
6.PNG,539,381,Id number,346.0,34.0,419.0,50.0
6.PNG,539,381,Address,244.0,136.0,295.0,150.0
7.PNG,551,380,Last Name,177.0,78.0,222.0,93.0
7.PNG,551,380,First Name,177.0,105.0,263.0,120.0
7.PNG,551,380,Country,175.0,131.0,304.0,146.0
7.PNG,551,380,Dob,177.0,158.0,303.0,173.0
7.PNG,551,380,Address,230.0,186.0,277.0,200.0
7.PNG,551,380,Id number,355.0,48.0,435.0,69.0
8.PNG,545,387,First Name,189.0,110.0,286.0,127.0
8.PNG,545,387,Last Name,189.0,85.0,294.0,101.0
8.PNG,545,387,Country,189.0,135.0,333.0,153.0
8.PNG,545,387,Dob,187.0,163.0,325.0,181.0
8.PNG,545,387,Id number,349.0,57.0,436.0,76.0
8.PNG,545,387,Address,245.0,187.0,316.0,207.0
9.PNG,543,374,First Name,187.0,87.0,203.0,104.0
9.PNG,543,374,Last Name,187.0,59.0,264.0,76.0
9.PNG,543,374,Country,186.0,114.0,326.0,130.0
9.PNG,543,374,Dob,185.0,141.0,320.0,159.0
9.PNG,543,374,Address,243.0,168.0,356.0,185.0
9.PNG,543,374,Id number,397.0,28.0,498.0,48.0
aug1_4_1.png,900,900,Last Name,301.021484375,523.8899536132812,358.3499450683594,548.7451782226562
aug1_4_1.png,900,900,First Name,299.7868347167969,556.8793334960938,430.86529541015625,585.89892578125
aug1_4_1.png,900,900,Dob,290.9833679199219,625.4322509765625,424.0569763183594,654.5913696289062
aug1_4_1.png,900,900,Address,385.0963439941406,668.1109008789062,559.2095947265625,702.1251831054688
aug1_4_1.png,900,900,Country,291.3599853515625,591.3755493164062,412.4627990722656,619.6975708007812
aug1_4_1.png,900,900,Id number,571.0403442382812,514.72265625,689.499267578125,547.8232421875
aug1_8_1.png,900,900,Last Name,294.7687683105469,513.419921875,353.1463928222656,542.00927734375
aug1_8_1.png,900,900,First Name,291.30548095703125,546.2379760742188,422.82379150390625,584.1358032226562
aug1_8_1.png,900,900,Dob,277.7414855957031,614.009765625,411.2403259277344,652.1859741210938
aug1_8_1.png,900,900,Address,368.5089111328125,663.1591796875,542.8870849609375,709.0220336914062
aug1_8_1.png,900,900,Country,280.4928283691406,580.0623168945312,402.10845947265625,616.5684204101562
aug1_8_1.png,900,900,Id number,564.4910278320312,523.1300048828125,683.8317260742188,564.169921875
aug1_12_1.png,900,900,Last Name,289.2723083496094,502.64093017578125,348.41473388671875,534.8250732421875
aug1_12_1.png,900,900,First Name,283.5972900390625,535.1277465820312,414.9147033691406,581.7191772460938
aug1_12_1.png,900,900,Dob,265.3387756347656,601.7882690429688,398.6125183105469,648.7955322265625
aug1_12_1.png,900,900,Address,352.3184509277344,657.1690063476562,526.112060546875,714.656982421875
aug1_12_1.png,900,900,Country,270.45147705078125,568.1154174804688,391.9874267578125,612.6277465820312
aug1_12_1.png,900,900,Id number,557.3839111328125,531.1810302734375,677.0249633789062,579.9603881835938
aug1_16_1.png,900,900,Last Name,284.5589294433594,491.60546875,344.1779479980469,527.2276611328125
aug1_16_1.png,900,900,First Name,276.69976806640625,523.6027221679688,407.1765441894531,578.6608276367188
aug1_16_1.png,900,900,Dob,253.83575439453125,588.8272705078125,386.23504638671875,644.4366455078125
aug1_16_1.png,900,900,Address,336.6039123535156,650.1694946289062,508.9662170410156,719.0025024414062
aug1_16_1.png,900,900,Country,261.284912109375,555.5930786132812,382.1490478515625,607.894775390625
