filename,width,height,class,xmin,ymin,xmax,ymax,,
1.PNG,600,332,PK_PP_country,192.7107086,125.012352,274.0318909,144.1399231,,
1.PNG,600,332,PK_PP_ln,194.7608185,81.29218292,233.7129822,98.37036896,,
1.PNG,600,332,PK_PP_fn,196.1275635,102.4691315,285.6492004,121.5967026,,
1.PNG,600,332,PK_PP_dob,191.3439636,149.6049347,282.2323608,166.6831207,,
1.PNG,600,332,PK_PP_id,379.9544373,62.84774017,462.6423645,80.60905457,,
1.PNG,600,332,PK_PP_address,258.9977112,175.5637817,375.8542175,192.641983,,
10.PNG,600,491,PK_PP_fn,202.9612732,129.0667572,265.8314209,145.4561768,,
10.PNG,600,491,PK_PP_ln,202.9612732,105.8483963,232.3462524,122.920723,,
10.PNG,600,491,PK_PP_country,202.9612732,153.6509094,290.4328003,167.9916534,,
10.PNG,600,491,PK_PP_id,394.9886169,77.16690063,479.0432739,95.60501099,,
10.PNG,600,491,PK_PP_dob,204.3280182,174.1376953,300.6833496,191.8929138,,
10.PNG,600,491,PK_PP_address,271.2984009,198.7218475,368.3371277,215.1112671,,
11.PNG,600,400,PK_PP_fn,226.5671539,93.06487274,325.0746155,109.1722641,,
11.PNG,600,400,PK_PP_ln,228.3582153,75.16778564,287.4627075,88.59060669,,
11.PNG,600,400,PK_PP_country,227.462677,111.8568192,314.3283691,126.1744995,,
11.PNG,600,400,PK_PP_id,420.8955383,64.42952728,509.5522156,81.4317627,,
11.PNG,600,400,PK_PP_dob,224.776123,134.2281952,326.8656921,147.651001,,
11.PNG,600,400,PK_PP_address,293.7313232,155.7046967,370.7462769,174.4966431,,
12.PNG,600,451,PK_PP_fn,202.4096375,95.4964447,248.9959869,113.9537354,,
12.PNG,600,451,PK_PP_ln,201.6064301,76.23665619,251.4056091,90.68149567,,
12.PNG,600,451,PK_PP_country,199.1967926,115.5587234,276.3052368,131.608551,,
12.PNG,600,451,PK_PP_dob,199.1967926,137.2259827,290.763031,154.8807831,,
12.PNG,600,451,PK_PP_address,262.6506042,158.8932343,346.9879456,177.3505249,,
12.PNG,600,451,PK_PP_id,387.9518127,55.37188721,461.8473816,73.02668762,,
13.PNG,600,440,PK_PP_fn,211.2540131,99.38596344,293.2475891,112.8947372,,
13.PNG,600,440,PK_PP_ln,215.1125336,77.19298553,270.0964661,91.66666412,,
13.PNG,600,440,PK_PP_country,210.2893829,119.6491241,292.282959,135.0877228,,
13.PNG,600,440,PK_PP_dob,210.2893829,138.9473572,300,155.3508759,,
13.PNG,600,440,PK_PP_address,271.0610962,163.0701752,333.762085,179.4736786,,
13.PNG,600,440,PK_PP_id,398.3923035,58.85964584,476.5273438,77.19298553,,
14.PNG,600,460,PK_PP_fn,201.9471436,109.3647919,259.5271301,129.4010925,,
14.PNG,600,460,PK_PP_ln,201.1126556,89.32849121,267.8720398,105.190567,,
14.PNG,600,460,PK_PP_country,201.9471436,132.7404633,280.3894348,149.4373779,,
14.PNG,600,460,PK_PP_dob,204.4506378,153.611618,293.7413025,171.9782257,,
14.PNG,600,460,PK_PP_address,267.8720398,180.3266907,327.1210022,197.0235901,,
14.PNG,600,460,PK_PP_id,384.7009888,68.45735168,470.6536865,86.82395935,,
15.PNG,600,467,PK_PP_fn,183.7241364,96.04964447,237.5172424,112.6099243,,
15.PNG,600,467,PK_PP_ln,184.551712,72.03723145,250.758606,92.73758698,,
15.PNG,600,467,PK_PP_country,183.7241364,115.9219894,261.5172424,135.7943268,,
15.PNG,600,467,PK_PP_dob,182.0689697,140.7624207,269.7930908,158.978714,,
15.PNG,600,467,PK_PP_address,247.448288,164.774826,307.8620605,185.475174,,
15.PNG,600,467,PK_PP_id,383.1723938,52.99290466,458.4827576,71.20922089,,
2.PNG,600,462,PK_PP_fn,199.5459595,104.7835083,304.4267883,120.4329834,,
2.PNG,600,462,PK_PP_ln,196.1407471,81.64948273,264.9262085,97.29897308,,
2.PNG,600,462,PK_PP_country,200.227005,128.5979309,279.9092102,142.8865967,,
2.PNG,600,462,PK_PP_dob,200.227005,149.6907196,291.486969,165.3401947,,
2.PNG,600,462,PK_PP_address,262.8830872,172.8247375,329.6254272,188.4742279,,
2.PNG,600,462,PK_PP_id,402.4971619,60.55670166,483.5414124,75.52577209,,
23.PNG,600,360,PK_ID_fn,187.8000031,99,224.4000092,116.9999924,,
23.PNG,600,360,PK_ID_ln,226.7999878,96.00000763,277.7999878,116.3999939,,
23.PNG,600,360,PK_ID_country,236.3999939,230.3999939,352.2000122,253.7999878,,
23.PNG,600,360,PK_ID_dob,310.2000122,276.6000061,396.6000061,297,,
23.PNG,600,360,PK_ID_id,182.3999939,276.6000061,300.6000061,294.6000061,,
25.PNG,600,394,PK_ID_fn,166.2313538,106.335228,209.3283539,128.7215881,,
25.PNG,600,394,PK_ID_ln,212.1268616,105.2159119,250.7462769,130.9602356,,
25.PNG,600,394,PK_ID_dob,312.8731384,297.7386475,390.6716614,315.0880737,,
25.PNG,600,394,PK_ID_country,236.1940308,255.2045441,294.4029846,271.9943237,,
25.PNG,600,394,PK_ID_id,166.7910461,294.3806763,282.0895386,318.4460144,,
26.PNG,600,436,PK_ID_fn,168.75,134.546875,233.5227203,156.6875,,
26.PNG,600,436,PK_ID_ln,236.0795441,135.3984375,321.3068237,159.2421875,,
26.PNG,600,436,PK_ID_country,234.375,282.71875,291.4772949,303.15625,,
26.PNG,600,436,PK_ID_dob,317.0454407,327,392.0454407,349.140625,,
26.PNG,600,436,PK_ID_id,167.0454559,327,279.5454712,349.140625,,
27.PNG,600,401,PK_ID_fn,171,107,219,131,,
27.PNG,600,401,PK_ID_ln,221,106,293,130,,
27.PNG,600,401,PK_ID_country,234,246,297,267,,
27.PNG,600,401,PK_ID_dob,314,289,391,309,,
27.PNG,600,401,PK_ID_id,169,290,280,311,,
28.PNG,285,177,PK_ID_fn,77,39,95,48,,
28.PNG,285,177,PK_ID_ln,96,38,116,49,,
28.PNG,285,177,PK_ID_country,106,114,139,123,,
28.PNG,285,177,PK_ID_id,79,137,139,146,,
28.PNG,285,177,PK_ID_dob,149,136,188,147,,
3.PNG,600,413,PK_PP_fn,219.3377533,91.33653259,317.8807983,105.6326904,,
3.PNG,600,413,PK_PP_ln,215.3642426,69.09807587,266.2251587,81.80577087,,
3.PNG,600,413,PK_PP_country,216.1589355,108.0153885,289.2715149,127.0769272,,
3.PNG,600,413,PK_PP_address,275.7615967,151.6980743,351.2582703,168.3769226,,
3.PNG,600,413,PK_PP_id,383.8410645,49.24230957,454.569519,65.12692261,,
3.PNG,600,413,PK_PP_dob,216.1589355,131.0480652,298.8079529,144.5500031,,
33.PNG,600,380,PK_ID_fn,154.1666718,90.83333588,198.3333282,111.6666718,,
33.PNG,600,380,PK_ID_ln,200.8333282,90,296.6666565,111.6666718,,
33.PNG,600,380,PK_ID_id,145,294.166687,284.1666565,319.166687,,
33.PNG,600,380,PK_ID_country,212,244,281,271,,
33.PNG,600,380,PK_ID_dob,295.8333435,297.5,384.166687,319.166687,,
34.PNG,600,383,PK_ID_fn,158.0838318,89.90609741,202.3952026,110.8841934,,`
34.PNG,600,383,PK_ID_ln,204.7904205,89.30673218,302.9940186,110.2848206,,
34.PNG,600,383,PK_ID_country,222.1557007,248.7402191,283.8323364,267.3208008,,
34.PNG,600,383,PK_ID_id,162.8742523,295.491394,286.826355,314.071991,,
34.PNG,600,383,PK_ID_dob,305.3892517,294.8920288,387.4251404,314.071991,,
35.PNG,600,464,PK_ID_fn,168.6666718,134.4299011,218.3333282,154.7778625,,
35.PNG,600,464,PK_ID_ln,221.6666565,133.7627563,290,154.7778625,,
35.PNG,600,464,PK_ID_country,225.6666718,289.5413513,288.6666565,310.8900146,,
35.PNG,600,464,PK_ID_id,170.3333282,336.5751343,293.6666565,355.5888062,,
35.PNG,600,464,PK_ID_dob,312.3333435,336.9086914,394.666687,355.5888062,,
36.PNG,400,257,PK_ID_fn,119,63,144,75,,
36.PNG,400,257,PK_ID_ln,147,62,176,75,,
36.PNG,400,257,PK_ID_country,157,162,201,176,,
36.PNG,400,257,PK_ID_id,119,191,202,206,,
36.PNG,400,257,PK_ID_dob,213,191,265,206,,
37.PNG,259,194,PK_ID_fn,64,46,89,56,,
